epoch,train_loss,valid_loss,MSE,PSNR,l1,feat_0,feat_1,feat_2,gram_0,gram_1,gram_2,time
0,1.5977540016174316,1.3128538131713867,0.00681861350312829,21.713552474975586,0.05703453719615936,0.18359871208667755,0.1960601955652237,0.16146019101142883,0.3204191029071808,0.24661991000175476,0.14766106009483337,00:45
1,0.9944635033607483,0.7572481632232666,0.0033748014830052853,24.80245590209961,0.03897346183657646,0.10826023668050766,0.11726771295070648,0.11855997145175934,0.12859316170215607,0.12592069804668427,0.1196729838848114,00:46
2,0.7301470041275024,0.6151402592658997,0.00213037827052176,26.850082397460938,0.029531456530094147,0.09403984993696213,0.09919597208499908,0.10446412116289139,0.08976167440414429,0.0916973203420639,0.10644988715648651,00:45
3,0.6068218350410461,0.5814288258552551,0.0015620581107214093,28.117830276489258,0.025206448510289192,0.08996479213237762,0.09584624320268631,0.09987203776836395,0.08502785116434097,0.08445128053426743,0.10106011480093002,00:45
4,0.5625767707824707,0.5280743837356567,0.0013010100228711963,28.97308349609375,0.022334236651659012,0.08653314411640167,0.08752362430095673,0.0936724916100502,0.06981262564659119,0.07207443565130234,0.09612377732992172,00:46
5,0.5370470285415649,0.5156832933425903,0.0010923654772341251,29.69144630432129,0.020366346463561058,0.08470911532640457,0.08558100461959839,0.09236673265695572,0.06888949126005173,0.06952539831399918,0.09424512833356857,00:45
6,0.5144913792610168,0.5046273469924927,0.001173480530269444,29.439407348632812,0.020444978028535843,0.0847785547375679,0.08527497947216034,0.09101572632789612,0.06263256072998047,0.06831341981887817,0.09216717630624771,00:45
7,0.5035322904586792,0.4945484399795532,0.0009974769782274961,30.08763313293457,0.01950761303305626,0.08296754211187363,0.08314940333366394,0.08901374787092209,0.06349430978298187,0.06657147407531738,0.08984429389238358,00:45
8,0.488055020570755,0.4798153042793274,0.0008583923918195069,30.73492431640625,0.01838618703186512,0.08156988769769669,0.08094476163387299,0.08752506971359253,0.0591312050819397,0.06403613835573196,0.08822203427553177,00:46
9,0.47568076848983765,0.47425681352615356,0.0010043056681752205,30.054311752319336,0.01975998468697071,0.0810701996088028,0.08074034005403519,0.08645005524158478,0.05598893016576767,0.06339637190103531,0.08685091137886047,00:45
10,0.4683704972267151,0.4644691050052643,0.0008357744663953781,30.852619171142578,0.017614511772990227,0.08145421743392944,0.0797916054725647,0.08576072752475739,0.053108323365449905,0.06051822379231453,0.08622156083583832,00:45
11,0.47453439235687256,0.4605925977230072,0.0010145977139472961,30.01618003845215,0.01932373270392418,0.07988496869802475,0.0782557800412178,0.08494221419095993,0.05393590033054352,0.05933031812310219,0.08491962403059006,00:45
12,0.4623323082923889,0.4547616243362427,0.0011921101249754429,29.35308837890625,0.020214205607771873,0.08007140457630157,0.077581025660038,0.08431980013847351,0.050224434584379196,0.057644717395305634,0.08470609039068222,00:46
13,0.4558332562446594,0.47580796480178833,0.0012414176017045975,29.203472137451172,0.021542392671108246,0.08206760138273239,0.08120127022266388,0.08586659282445908,0.05614268034696579,0.0629306510090828,0.08605682104825974,00:45
14,0.4447323679924011,0.45108622312545776,0.0007232223288156092,31.471498489379883,0.016367435455322266,0.07965224236249924,0.07777013629674911,0.08408007025718689,0.05292930081486702,0.057033222168684006,0.08325380086898804,00:45
15,0.4454972743988037,0.4354449212551117,0.00078087009023875,31.18225860595703,0.016705060377717018,0.07797935605049133,0.07531897723674774,0.08177770674228668,0.04757298156619072,0.054670300334692,0.08142055571079254,00:45
16,0.4352515637874603,0.43772703409194946,0.0008764833910390735,30.70867347717285,0.017375145107507706,0.0780198946595192,0.07532887160778046,0.08195096999406815,0.048104919493198395,0.055025652050971985,0.08192159980535507,00:45
17,0.42886966466903687,0.4465096890926361,0.0014589925995096564,28.726301193237305,0.020527223125100136,0.0781952291727066,0.07627205550670624,0.08238649368286133,0.04958844184875488,0.05678567290306091,0.08275454491376877,00:45
18,0.42537248134613037,0.43052658438682556,0.0006780850817449391,31.771862030029297,0.015382451005280018,0.07694961875677109,0.07427597790956497,0.08125770092010498,0.047426898032426834,0.054458025842905045,0.08077596873044968,00:45
19,0.43083295226097107,0.4819146394729614,0.0012343296548351645,29.242019653320312,0.020588336512446404,0.08198998868465424,0.08247406780719757,0.08442237973213196,0.06230459362268448,0.0669223964214325,0.08321281522512436,00:45
20,0.4268873333930969,0.4372738003730774,0.0009111954714171588,30.543315887451172,0.017886018380522728,0.07753855735063553,0.07513494044542313,0.08148688822984695,0.04733898118138313,0.05599713698029518,0.08189128339290619,00:45
21,0.4225086569786072,0.4294338524341583,0.0010174228809773922,30.1363468170166,0.017999805510044098,0.07710928469896317,0.07410494983196259,0.08050540089607239,0.04537517577409744,0.05376165732741356,0.08057759702205658,00:45
22,0.4205273389816284,0.44364649057388306,0.0007179118692874908,31.50229263305664,0.015834666788578033,0.07776005566120148,0.07558578997850418,0.08280835300683975,0.05348609387874603,0.056202828884124756,0.08196868747472763,00:45
