epoch,train_loss,valid_loss,MSE,PSNR,l1,feat_0,feat_1,feat_2,gram_0,gram_1,gram_2,time
0,0.5314902663230896,0.5455092191696167,0.0016059696208685637,28.333646774291992,0.019162625074386597,0.09126818925142288,0.09150809794664383,0.09314870089292526,0.07708466053009033,0.08130872249603271,0.09202852100133896,06:04
1,0.539445161819458,0.5432266592979431,0.0016075130552053452,28.32993507385254,0.01921127177774906,0.09131284058094025,0.09136363863945007,0.09301520884037018,0.07601812481880188,0.08046861737966537,0.09183689206838608,06:05
2,0.5307486653327942,0.5418947339057922,0.0015753739280626178,28.411046981811523,0.018994323909282684,0.09086748212575912,0.0909731388092041,0.09279157221317291,0.07611801475286484,0.08053592592477798,0.09161427617073059,06:05
3,0.5314621925354004,0.5395564436912537,0.0015463262097910047,28.4818115234375,0.018911395221948624,0.09126973152160645,0.09103155881166458,0.09276998788118362,0.07464613765478134,0.07936402410268784,0.09156358987092972,06:02
4,0.5197378396987915,0.5385433435440063,0.0015556685393676162,28.460121154785156,0.01893777959048748,0.09106062352657318,0.09093844890594482,0.0926213338971138,0.07429996877908707,0.07918437570333481,0.09150077402591705,06:02
5,0.5271490812301636,0.5394962430000305,0.0015848116017878056,28.390277862548828,0.0189497172832489,0.09057164192199707,0.09069420397281647,0.09257303923368454,0.07552484422922134,0.07977520674467087,0.09140762686729431,06:05
6,0.5189689993858337,0.5378848314285278,0.0015386893646791577,28.491491317749023,0.018857864663004875,0.09125816076993942,0.09083850681781769,0.09248657524585724,0.07418736815452576,0.0789422020316124,0.09131423383951187,06:07
7,0.5176111459732056,0.539316713809967,0.0015913263196125627,28.375093460083008,0.01898726262152195,0.09047520905733109,0.09053845703601837,0.09229980409145355,0.07571491599082947,0.08006034046411514,0.0912407711148262,06:06
8,0.5107199549674988,0.5368887186050415,0.0015009037451818585,28.59434700012207,0.018663251772522926,0.09093882143497467,0.09065219014883041,0.09249284118413925,0.07419693470001221,0.0787603110074997,0.09118442237377167,06:05
9,0.516715943813324,0.5394814610481262,0.0014867919962853193,28.61740493774414,0.018823252990841866,0.09090704470872879,0.09070467203855515,0.09285292774438858,0.07508038729429245,0.07959701865911484,0.09151601046323776,06:04
10,0.5037071704864502,0.5388760566711426,0.001550211338326335,28.477699279785156,0.018805917352437973,0.09053998440504074,0.09043721109628677,0.092193104326725,0.07592355459928513,0.08002745360136032,0.09094899147748947,06:05
11,0.5020795464515686,0.5382398962974548,0.001495313597843051,28.586875915527344,0.018770739436149597,0.09105178713798523,0.09058990329504013,0.09236666560173035,0.07510235160589218,0.0792938843369484,0.0910644456744194,06:02
12,0.5079312920570374,0.536779522895813,0.0014764415100216866,28.647428512573242,0.01859995350241661,0.09079085290431976,0.09043102711439133,0.09234616160392761,0.0742274597287178,0.07938004285097122,0.09100408107042313,06:05
13,0.5053507089614868,0.5364303588867188,0.0015431614592671394,28.488107681274414,0.018833031877875328,0.09057120233774185,0.0903024822473526,0.09204800426959991,0.0745902881026268,0.07919738441705704,0.09088816493749619,06:04
14,0.5019031167030334,0.5343862771987915,0.0015000643907114863,28.589054107666016,0.0186005812138319,0.09044051170349121,0.0901072695851326,0.0921158641576767,0.07377754896879196,0.0785137489438057,0.09083084017038345,06:02
15,0.49277764558792114,0.5366424322128296,0.0014926705043762922,28.608766555786133,0.01862458884716034,0.09042040258646011,0.09013257175683975,0.09197486937046051,0.07508856058120728,0.07968452572822571,0.09071696549654007,06:05
16,0.5009501576423645,0.5369287729263306,0.0015031405491754413,28.596595764160156,0.01860571838915348,0.09057748317718506,0.09030736237764359,0.09257102757692337,0.074288010597229,0.07938934117555618,0.0911898985505104,06:05
17,0.5029282569885254,0.5389813780784607,0.0015512302052229643,28.468704223632812,0.018733425065875053,0.09023530781269073,0.09023930877447128,0.09239848703145981,0.0761156976222992,0.08023639768362045,0.09102269262075424,06:03
18,0.4900952875614166,0.5400932431221008,0.0016120544169098139,28.31816291809082,0.01897951401770115,0.0901544839143753,0.0901951938867569,0.09217379987239838,0.07673069089651108,0.08093304932117462,0.09092649072408676,06:06
19,0.48966366052627563,0.5442025661468506,0.0014854826731607318,28.612667083740234,0.018699828535318375,0.09061026573181152,0.0906648114323616,0.09226056933403015,0.07951217144727707,0.08164556324481964,0.09080927819013596,06:12
20,0.49462082982063293,0.5350434184074402,0.0014652147656306624,28.671703338623047,0.018574709072709084,0.09045255184173584,0.09009811282157898,0.09183239936828613,0.07483524829149246,0.07884204387664795,0.0904085785150528,06:10
21,0.4902517795562744,0.5335984826087952,0.0014276056317612529,28.779157638549805,0.018574340268969536,0.09094054996967316,0.09018737822771072,0.09232795983552933,0.0725308209657669,0.07821300625801086,0.09082449227571487,06:11
22,0.4833941161632538,0.5340441465377808,0.0014800901990383863,28.660402297973633,0.01844371296465397,0.08991289883852005,0.08968065679073334,0.09178439527750015,0.07456564903259277,0.07897797226905823,0.0906788632273674,06:12
23,0.4866992235183716,0.5335971117019653,0.001436957623809576,28.774019241333008,0.01838776469230652,0.09066659957170486,0.09006607532501221,0.09236016124486923,0.07265171408653259,0.07857214659452438,0.09089264273643494,06:09
24,0.4843464493751526,0.5319197177886963,0.0014550304040312767,28.720781326293945,0.018498413264751434,0.09057070314884186,0.0897715836763382,0.09223129600286484,0.07236327975988388,0.07769199460744858,0.09079258888959885,06:08
25,0.47949984669685364,0.5376622676849365,0.0014697342412546277,28.666868209838867,0.018482372164726257,0.09018661081790924,0.08998909592628479,0.09205494821071625,0.07617972046136856,0.07999008893966675,0.0907793864607811,06:07
