epoch,train_loss,valid_loss,MSE,PSNR,l1,feat_0,feat_1,feat_2,gram_0,gram_1,gram_2,time
0,0.3390260934829712,0.3386736810207367,0.0007110301521606743,31.565269470214844,0.016403311863541603,0.06326895952224731,0.056196581572294235,0.06716688722372055,0.030037621036171913,0.03295772150158882,0.07264258712530136,00:45
1,0.3336447477340698,0.338248074054718,0.0006929478258825839,31.677200317382812,0.016090398654341698,0.0628914013504982,0.05608394742012024,0.06702665239572525,0.030496565625071526,0.03319449722766876,0.07246464490890503,00:45
2,0.3319944739341736,0.33685892820358276,0.0006831822684034705,31.735795974731445,0.015935184434056282,0.06273408979177475,0.055856622755527496,0.06684202700853348,0.030289847403764725,0.0329778790473938,0.07222333550453186,00:45
3,0.3307681083679199,0.33410194516181946,0.0006825575255788863,31.745006561279297,0.015878384932875633,0.06279484927654266,0.055499929934740067,0.06656630337238312,0.029448920860886574,0.03195549547672272,0.071958027780056,00:45
4,0.32624703645706177,0.3324015736579895,0.0006699616787955165,31.82700538635254,0.015652254223823547,0.06250812113285065,0.055280134081840515,0.06635712087154388,0.02913782373070717,0.03176237270236015,0.07170373946428299,00:45
5,0.3246479630470276,0.332078754901886,0.0006632387521676719,31.865781784057617,0.015529168769717216,0.06230354681611061,0.055168215185403824,0.06616101413965225,0.02960207872092724,0.031873755156993866,0.0714409351348877,00:45
6,0.32723647356033325,0.3301738202571869,0.0006537454319186509,31.930315017700195,0.015454745851457119,0.062197208404541016,0.05492657423019409,0.06597176194190979,0.028919333592057228,0.031478095799684525,0.0712260901927948,00:45
7,0.3255303204059601,0.3291362226009369,0.0006581951747648418,31.89638328552246,0.015514649450778961,0.06211625039577484,0.054796524345874786,0.06569160521030426,0.02869562990963459,0.03141380473971367,0.07090777903795242,00:45
8,0.3234330713748932,0.33048194646835327,0.0006659516366198659,31.84967613220215,0.015500633977353573,0.06185826659202576,0.054757699370384216,0.06564990431070328,0.03002004511654377,0.0318785235285759,0.07081682980060577,00:45
9,0.3223210275173187,0.32601994276046753,0.0006402898579835892,32.01849365234375,0.015229049138724804,0.06191161647439003,0.054393697530031204,0.06539462506771088,0.027818528935313225,0.03070584125816822,0.07056659460067749,00:45
10,0.3184695839881897,0.32574185729026794,0.0006358210230246186,32.04684066772461,0.015230042859911919,0.061757441610097885,0.05425836518406868,0.06522345542907715,0.028307445347309113,0.030693942680954933,0.07027117908000946,00:45
11,0.3161483407020569,0.3232729136943817,0.0006346516311168671,32.05497741699219,0.01527041383087635,0.061667099595069885,0.0539773590862751,0.06497146189212799,0.027240188792347908,0.03006206825375557,0.0700843334197998,00:44
12,0.31356367468833923,0.322089821100235,0.00062293850351125,32.136775970458984,0.014943337999284267,0.061452824622392654,0.05383244529366493,0.06489986926317215,0.02705719694495201,0.029885295778512955,0.07001887261867523,00:45
13,0.31188076734542847,0.32209455966949463,0.0006166466046124697,32.177940368652344,0.014828908257186413,0.061357054859399796,0.05381966382265091,0.0647609755396843,0.027487894520163536,0.03012985736131668,0.06971018761396408,00:45
14,0.3109803795814514,0.32000577449798584,0.0006177462637424469,32.17490768432617,0.014789917506277561,0.06132223457098007,0.05356171727180481,0.0644887313246727,0.026709087193012238,0.02968268096446991,0.06945141404867172,00:45
15,0.3097887337207794,0.318956196308136,0.0006082045147195458,32.24199676513672,0.014669623225927353,0.06114834174513817,0.05338006466627121,0.06442760676145554,0.026581846177577972,0.02938065677881241,0.06936807185411453,00:44
16,0.3068225383758545,0.32000255584716797,0.0006097319419495761,32.2331657409668,0.014676162973046303,0.060973189771175385,0.0533515065908432,0.06419340521097183,0.027621371671557426,0.029977409169077873,0.0692095160484314,00:44
17,0.3057597279548645,0.3194935619831085,0.0006010420038364828,32.2880744934082,0.014598425477743149,0.0607483945786953,0.053178977221250534,0.06419219821691513,0.027503645047545433,0.030145270749926567,0.06912665069103241,00:45
18,0.30530300736427307,0.31684738397598267,0.0005986977485008538,32.30510330200195,0.01461696159094572,0.060751575976610184,0.05294938012957573,0.06393193453550339,0.026299932971596718,0.029345719143748283,0.06895186752080917,00:45
19,0.3038298487663269,0.31605085730552673,0.0005934176733717322,32.340431213378906,0.014469850808382034,0.06076274439692497,0.052961044013500214,0.06391318142414093,0.02608523890376091,0.029047824442386627,0.06881096214056015,00:45
20,0.3025858700275421,0.31624168157577515,0.0005828544381074607,32.421607971191406,0.01438209880143404,0.06049806997179985,0.05275861918926239,0.0639096051454544,0.026844710111618042,0.029123231768608093,0.06872538477182388,00:45
21,0.2995389997959137,0.31539252400398254,0.0005901792901568115,32.366729736328125,0.014330536127090454,0.06052546948194504,0.052800413221120834,0.0638456866145134,0.02625376172363758,0.028896648436784744,0.06874001771211624,00:45
22,0.29910922050476074,0.31600216031074524,0.0005844145198352635,32.41498947143555,0.014312084764242172,0.06051599606871605,0.05274565517902374,0.06377609819173813,0.02696903608739376,0.02907690219581127,0.06860637664794922,00:45
